,precision,recall,f1-score,support
0,0.9514925373134329,0.9870967741935484,0.9689677010766308,1550.0
1,0.9885057471264368,0.8037383177570093,0.8865979381443299,107.0
2,1.0,1.0,1.0,18932.0
3,1.0,0.9975874547647768,0.998792270531401,829.0
4,0.0,0.0,0.0,7.0
5,0.0,0.0,0.0,6.0
6,0.9828009828009828,1.0,0.9913258983890955,400.0
7,0.9950248756218906,1.0,0.9975062344139651,200.0
8,0.9568480300187617,0.9845559845559846,0.9705042816365367,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9818181818181818,0.9654747225647349,0.9735778675784893,1622.0
11,0.8823529411764706,0.5882352941176471,0.7058823529411765,51.0
accuracy,0.9941926575698505,0.9941926575698505,0.9941926575698505,0.9941926575698505
macro avg,0.8115702746563466,0.7768094519646326,0.7908883982604658,24624.0
weighted avg,0.9936998573132688,0.9941926575698505,0.993813285408286,24624.0
