,precision,recall,f1-score,support
0,0.9441233140655106,0.9483870967741935,0.9462504023173479,1550.0
1,0.7361111111111112,0.9906542056074766,0.8446215139442231,107.0
2,0.9999471821687002,1.0,0.9999735903869008,18932.0
3,0.9951749095295537,0.9951749095295537,0.9951749095295537,829.0
4,0.2,1.0,0.3333333333333333,7.0
5,0.35714285714285715,0.8333333333333334,0.5,6.0
6,0.9925558312655087,1.0,0.9962640099626401,400.0
7,0.966183574879227,1.0,0.9828009828009828,200.0
8,1.0,0.9382239382239382,0.9681274900398407,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9851325145442793,0.9395807644882861,0.9618176080782581,1622.0
11,0.6811594202898551,0.9215686274509803,0.7833333333333333,51.0
accuracy,0.9909844054580896,0.9909844054580896,0.9909844054580896,0.9909844054580896
macro avg,0.8214608929163836,0.9634956459191377,0.8591002840116982,24624.0
weighted avg,0.9927136554645376,0.9909844054580896,0.9915719411568102,24624.0
