,precision,recall,f1-score,support
0,0.986046511627907,0.9574193548387097,0.9715220949263502,1550.0
1,0.75177304964539,0.9906542056074766,0.8548387096774194,107.0
2,1.0,1.0,1.0,18932.0
3,1.0,0.9975874547647768,0.998792270531401,829.0
4,0.1590909090909091,1.0,0.27450980392156865,7.0
5,0.3333333333333333,0.8333333333333334,0.47619047619047616,6.0
6,0.9925558312655087,1.0,0.9962640099626401,400.0
7,0.9950248756218906,1.0,0.9975062344139651,200.0
8,0.9979508196721312,0.9401544401544402,0.9681908548707754,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9857320099255583,0.9796547472256474,0.9826839826839827,1622.0
11,0.8571428571428571,0.9411764705882353,0.897196261682243,51.0
accuracy,0.9943551007147499,0.9943551007147499,0.9943551007147499,0.9943551007147499
macro avg,0.8382208497771239,0.9695837401778759,0.8679334111062321,24624.0
weighted avg,0.9962013841672042,0.9943551007147499,0.9950577543051898,24624.0
