,precision,recall,f1-score,support
0,0.9498432601880877,0.9774193548387097,0.9634340222575517,1550.0
1,0.9772727272727273,0.8037383177570093,0.882051282051282,107.0
2,1.0,1.0,1.0,18932.0
3,0.9987864077669902,0.9927623642943305,0.9957652752571083,829.0
4,0.0,0.0,0.0,7.0
5,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
6,0.9876543209876543,1.0,0.9937888198757764,400.0
7,0.9950248756218906,1.0,0.9975062344139651,200.0
8,0.9599236641221374,0.971042471042471,0.9654510556621881,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9728227300802965,0.971023427866831,0.9719222462203023,1622.0
11,0.896551724137931,0.5098039215686274,0.65,51.0
accuracy,0.9935428849902534,0.9935428849902534,0.9935428849902534,0.9935428849902534
macro avg,0.8710137853719524,0.8378456721936002,0.8488879949485756,24624.0
weighted avg,0.9932608288292014,0.9935428849902534,0.9932396373762217,24624.0
