,precision,recall,f1-score,support
0,0.8853383458646616,0.9116129032258065,0.898283534647171,1550.0
1,0.7412587412587412,0.9906542056074766,0.848,107.0
2,1.0,1.0,1.0,18932.0
3,0.9987775061124694,0.985524728588661,0.99210686095932,829.0
4,0.25,1.0,0.4,7.0
5,0.5,0.8333333333333334,0.625,6.0
6,0.9803921568627451,1.0,0.9900990099009901,400.0
7,0.9569377990430622,1.0,0.9779951100244498,200.0
8,0.9978586723768736,0.8996138996138996,0.9461928934010152,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9718498659517426,0.8939580764488286,0.9312780989081567,1622.0
11,0.36363636363636365,0.8627450980392157,0.5116279069767442,51.0
accuracy,0.9844054580896686,0.9844054580896686,0.9844054580896686,0.9844054580896686
macro avg,0.8038374542588883,0.9477055933732594,0.8431741374359843,24624.0
weighted avg,0.9873963135939028,0.9844054580896686,0.9853586832807285,24624.0
