,precision,recall,f1-score,support
0,0.9536507936507936,0.9690322580645161,0.96128,1550.0
1,0.7681159420289855,0.9906542056074766,0.8653061224489796,107.0
2,1.0,1.0,1.0,18932.0
3,0.9987908101571947,0.9963811821471653,0.9975845410628019,829.0
4,0.16279069767441862,1.0,0.28,7.0
5,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
6,1.0,1.0,1.0,400.0
7,0.9803921568627451,1.0,0.9900990099009901,200.0
8,0.9979296066252588,0.9305019305019305,0.9630369630369631,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9923027581783195,0.9537607891491985,0.9726501100282929,1622.0
11,0.8703703703703703,0.9215686274509803,0.8952380952380953,51.0
accuracy,0.9930961663417803,0.9930961663417803,0.9930961663417803,0.9930961663417803
macro avg,0.8566582242586366,0.9658547668230409,0.8824473118997297,24624.0
weighted avg,0.9947095320034014,0.9930961663417803,0.9936929587408176,24624.0
