,precision,recall,f1-score,support
0,0.9367959949937422,0.9658064516129032,0.9510800508259212,1550.0
1,1.0,0.8037383177570093,0.8911917098445595,107.0
2,1.0,1.0,1.0,18932.0
3,1.0,0.9975874547647768,0.998792270531401,829.0
4,0.0,0.0,0.0,7.0
5,0.0,0.0,0.0,6.0
6,0.9732360097323601,1.0,0.9864364981504316,400.0
7,0.9049773755656109,1.0,0.9501187648456056,200.0
8,0.9437148217636022,0.971042471042471,0.9571836346336822,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9777777777777777,0.9494451294697904,0.9634031904910854,1622.0
11,0.9512195121951219,0.7647058823529411,0.8478260869565217,51.0
accuracy,0.9918778427550358,0.9918778427550358,0.9918778427550358,0.9918778427550358
macro avg,0.8073101243356845,0.787279215218482,0.7952948700577643,24624.0
weighted avg,0.9915381619394665,0.9918778427550358,0.9915865200868811,24624.0
