,precision,recall,f1-score,support
0,0.9700715679895902,0.9619354838709677,0.9659863945578231,1550.0
1,0.762589928057554,0.9906542056074766,0.8617886178861789,107.0
2,1.0,1.0,1.0,18932.0
3,1.0,0.9975874547647768,0.998792270531401,829.0
4,0.1206896551724138,1.0,0.2153846153846154,7.0
5,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
6,0.9925558312655087,1.0,0.9962640099626401,400.0
7,1.0,1.0,1.0,200.0
8,0.9818181818181818,0.9382239382239382,0.9595261599210266,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9853409815168898,0.9531442663378545,0.9689752428705735,1622.0
11,0.8245614035087719,0.9215686274509803,0.8703703703703703,51.0
accuracy,0.9928118908382066,0.9928118908382066,0.9928118908382066,0.9928118908382066
macro avg,0.862659438634552,0.9659560154342682,0.8836520570941137,24624.0
weighted avg,0.9949325231012551,0.9928118908382066,0.9936735118890342,24624.0
