,precision,recall,f1-score,support
0,0.9645776566757494,0.9135483870967742,0.9383697813121272,1550.0
1,0.762589928057554,0.9906542056074766,0.8617886178861789,107.0
2,1.0,1.0,1.0,18932.0
3,1.0,0.9927623642943305,0.9963680387409201,829.0
4,0.15555555555555556,1.0,0.2692307692307692,7.0
5,0.25,0.8333333333333334,0.38461538461538464,6.0
6,0.9900990099009901,1.0,0.9950248756218906,400.0
7,0.8888888888888888,1.0,0.9411764705882353,200.0
8,1.0,0.9362934362934363,0.967098703888335,518.0
9,1.0,0.9950248756218906,0.9975062344139651,402.0
10,0.9717159019484601,0.9531442663378545,0.9623404917522564,1622.0
11,0.5,0.9019607843137255,0.6433566433566433,51.0
accuracy,0.9895224171539961,0.9895224171539961,0.9895224171539961,0.9895224171539961
macro avg,0.7902855784189331,0.9597268044082351,0.8297396676172254,24624.0
weighted avg,0.9923538805123878,0.9895224171539961,0.990529292584652,24624.0
