,precision,recall,f1-score,support
ARP_poisioning,0.9556878306878307,0.932258064516129,0.9438275636838668,1550.0
DDOS_Slowloris,0.9550561797752809,0.794392523364486,0.8673469387755102,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9975874547647768,0.998792270531401,829.0
Metasploit_Brute_Force_SSH,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
NMAP_FIN_SCAN,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
NMAP_OS_DETECTION,0.9900990099009901,1.0,0.9950248756218906,400.0
NMAP_TCP_scan,0.9852216748768473,1.0,0.9925558312655087,200.0
NMAP_UDP_SCAN,0.956766917293233,0.9826254826254827,0.9695238095238096,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9332936271590232,0.9660912453760789,0.9494092699182066,1622.0
Wipro_bulb,0.875,0.5490196078431373,0.6746987951807228,51.0
accuracy,0.9910656270305394,0.9910656270305394,0.9910656270305394,0.9910656270305394
macro avg,0.9352128175934813,0.9089562870490143,0.9179216012740423,24624.0
weighted avg,0.9910619447869313,0.9910656270305394,0.9909209086044527,24624.0
