,precision,recall,f1-score,support
ARP_poisioning,0.9705263157894737,0.892258064516129,0.9297478991596638,1550.0
DDOS_Slowloris,0.7394366197183099,0.9813084112149533,0.8433734939759037,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,0.12727272727272726,1.0,0.22580645161290322,7.0
NMAP_FIN_SCAN,0.18518518518518517,0.8333333333333334,0.30303030303030304,6.0
NMAP_OS_DETECTION,0.9900990099009901,1.0,0.9950248756218906,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.97,0.9362934362934363,0.9528487229862476,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9424860853432282,0.9395807644882861,0.9410311824637234,1622.0
Wipro_bulb,0.5,0.9411764705882353,0.6530612244897959,51.0
accuracy,0.9874106562703054,0.9874106562703054,0.9874106562703054,0.9874106562703054
macro avg,0.7850025682359837,0.9595125221321514,0.8197098535402293,24624.0
weighted avg,0.9909094597748965,0.9874106562703054,0.9886893778448255,24624.0
