,precision,recall,f1-score,support
ARP_poisioning,0.9710144927536232,0.9077419354838709,0.9383127709236412,1550.0
DDOS_Slowloris,0.7727272727272727,0.9532710280373832,0.8535564853556485,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9975845410628019,0.9963811821471653,0.9969824984912492,829.0
Metasploit_Brute_Force_SSH,0.10294117647058823,1.0,0.18666666666666668,7.0
NMAP_FIN_SCAN,0.3333333333333333,0.8333333333333334,0.47619047619047616,6.0
NMAP_OS_DETECTION,0.9975062344139651,1.0,0.9987515605493134,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.9646365422396856,0.9478764478764479,0.9561830574488802,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.955196017423771,0.9463625154130703,0.9507587488386497,1622.0
Wipro_bulb,0.5609756097560976,0.9019607843137255,0.6917293233082706,51.0
accuracy,0.9889132553606238,0.9889132553606238,0.9889132553606238,0.9889132553606238
macro avg,0.8042450079835858,0.9568293418522407,0.8370120047167272,24624.0
weighted avg,0.9920037097488358,0.9889132553606238,0.9901351822140276,24624.0
