,precision,recall,f1-score,support
ARP_poisioning,0.8776737967914439,0.8470967741935483,0.8621142481943532,1550.0
DDOS_Slowloris,0.7653061224489796,0.7009345794392523,0.7317073170731707,107.0
DOS_SYN_Hping,0.9999471821687002,1.0,0.9999735903869008,18932.0
MQTT_Publish,0.9963724304715841,0.9939686369119421,0.9951690821256038,829.0
Metasploit_Brute_Force_SSH,1.0,0.42857142857142855,0.6,7.0
NMAP_FIN_SCAN,1.0,0.8333333333333334,0.9090909090909091,6.0
NMAP_OS_DETECTION,0.9975062344139651,1.0,0.9987515605493134,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.939922480620155,0.9362934362934363,0.9381044487427466,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.8714533873769542,0.9278668310727497,0.8987757539564049,1622.0
Wipro_bulb,0.7058823529411765,0.23529411764705882,0.35294117647058826,51.0
accuracy,0.980912930474334,0.980912930474334,0.980912930474334,0.980912930474334
macro avg,0.9290907385712374,0.8248653344237199,0.8568033796181602,24624.0
weighted avg,0.9806960544990326,0.980912930474334,0.9804447388755895,24624.0
