,precision,recall,f1-score,support
ARP_poisioning,0.9275147928994083,0.8090322580645162,0.8642315644383184,1550.0
DDOS_Slowloris,0.621301775147929,0.9813084112149533,0.7608695652173914,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9915764139590855,0.9939686369119421,0.9927710843373494,829.0
Metasploit_Brute_Force_SSH,0.1206896551724138,1.0,0.2153846153846154,7.0
NMAP_FIN_SCAN,0.17857142857142858,0.8333333333333334,0.29411764705882354,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,0.9852216748768473,1.0,0.9925558312655087,200.0
NMAP_UDP_SCAN,0.9515151515151515,0.9092664092664092,0.9299111549851925,518.0
NMAP_XMAS_TREE_SCAN,0.9975062344139651,0.9950248756218906,0.9962640099626401,402.0
Thing_Speak,0.9033434650455927,0.9161528976572133,0.9097030915212734,1622.0
Wipro_bulb,0.36363636363636365,0.7843137254901961,0.4968944099378882,51.0
accuracy,0.9796946068875894,0.9796946068875894,0.9796946068875894,0.9796946068875894
macro avg,0.7534064129365153,0.9352000456300379,0.7877252478424165,24624.0
weighted avg,0.984192477534465,0.9796946068875894,0.981190501192256,24624.0
