,precision,recall,f1-score,support
ARP_poisioning,0.9555555555555556,0.832258064516129,0.8896551724137931,1550.0
DDOS_Slowloris,0.6481481481481481,0.9813084112149533,0.7806691449814126,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9927710843373494,0.9939686369119421,0.9933694996986137,829.0
Metasploit_Brute_Force_SSH,0.1111111111111111,1.0,0.2,7.0
NMAP_FIN_SCAN,0.3333333333333333,0.8333333333333334,0.47619047619047616,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,0.9803921568627451,1.0,0.9900990099009901,200.0
NMAP_UDP_SCAN,0.958498023715415,0.9362934362934363,0.947265625,518.0
NMAP_XMAS_TREE_SCAN,0.9950248756218906,0.9950248756218906,0.9950248756218906,402.0
Thing_Speak,0.9087035909920876,0.9204685573366215,0.9145482388973967,1622.0
Wipro_bulb,0.37606837606837606,0.8627450980392157,0.5238095238095238,51.0
accuracy,0.9821718648473035,0.9821718648473035,0.9821718648473035,0.9821718648473035
macro avg,0.771633854645501,0.9462833677722934,0.8092192972095079,24624.0
weighted avg,0.98659539835454,0.9821718648473035,0.9836367973845738,24624.0
