,precision,recall,f1-score,support
ARP_poisioning,0.8819112627986349,0.8335483870967741,0.8570480928689884,1550.0
DDOS_Slowloris,0.8433734939759037,0.6542056074766355,0.7368421052631579,107.0
DOS_SYN_Hping,0.9996303923121601,1.0,0.9998151619973067,18932.0
MQTT_Publish,0.9809750297265161,0.9951749095295537,0.9880239520958084,829.0
Metasploit_Brute_Force_SSH,0.0,0.0,0.0,7.0
NMAP_FIN_SCAN,0.0,0.0,0.0,6.0
NMAP_OS_DETECTION,0.9478672985781991,1.0,0.9732360097323601,400.0
NMAP_TCP_scan,0.9049773755656109,1.0,0.9501187648456056,200.0
NMAP_UDP_SCAN,0.9762419006479481,0.8725868725868726,0.9215086646279307,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.8488241881298992,0.9346485819975339,0.8896713615023474,1622.0
Wipro_bulb,0.25,0.0196078431372549,0.03636363636363636,51.0
accuracy,0.9782326185834957,0.9782326185834957,0.9782326185834957,0.9782326185834957
macro avg,0.7194834118112393,0.692066423120543,0.6958444986425922,24624.0
weighted avg,0.9768036403637563,0.9782326185834957,0.9769898390844551,24624.0
