,precision,recall,f1-score,support
ARP_poisioning,0.834597875569044,0.3548387096774194,0.49796287913082843,1550.0
DDOS_Slowloris,0.6973684210526315,0.9906542056074766,0.8185328185328186,107.0
DOS_SYN_Hping,0.9996303923121601,1.0,0.9998151619973067,18932.0
MQTT_Publish,0.9939831528279182,0.9963811821471653,0.9951807228915662,829.0
Metasploit_Brute_Force_SSH,0.046875,0.8571428571428571,0.08888888888888889,7.0
NMAP_FIN_SCAN,0.11904761904761904,0.8333333333333334,0.20833333333333334,6.0
NMAP_OS_DETECTION,0.9660574412532638,0.925,0.9450830140485313,400.0
NMAP_TCP_scan,0.8968609865470852,1.0,0.9456264775413712,200.0
NMAP_UDP_SCAN,0.5510204081632653,0.8861003861003861,0.6794966691339749,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.7723577235772358,0.93711467324291,0.8467966573816156,1622.0
Wipro_bulb,0.42424242424242425,0.5490196078431373,0.47863247863247865,51.0
accuracy,0.9503736192332684,0.9503736192332684,0.9503736192332684,0.9503736192332684
macro avg,0.6918367870493872,0.8603841525597146,0.7084879446605566,24624.0
weighted avg,0.9602796660317181,0.9503736192332684,0.947565500297469,24624.0
