,precision,recall,f1-score,support
ARP_poisioning,0.9652305366591081,0.8238709677419355,0.888966237382527,1550.0
DDOS_Slowloris,0.75177304964539,0.9906542056074766,0.8548387096774194,107.0
DOS_SYN_Hping,0.9997887621461766,1.0,0.9998943699165522,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,0.07446808510638298,1.0,0.13861386138613863,7.0
NMAP_FIN_SCAN,0.29411764705882354,0.8333333333333334,0.43478260869565216,6.0
NMAP_OS_DETECTION,0.9975062344139651,1.0,0.9987515605493134,400.0
NMAP_TCP_scan,0.9090909090909091,1.0,0.9523809523809523,200.0
NMAP_UDP_SCAN,0.9328214971209213,0.9382239382239382,0.9355149181905679,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9269490484960098,0.9309494451294698,0.9289449400184558,1622.0
Wipro_bulb,0.4017094017094017,0.9215686274509803,0.5595238095238095,51.0
accuracy,0.9825779727095516,0.9825779727095516,0.9825779727095516,0.9825779727095516
macro avg,0.7711212642872574,0.9524000252198815,0.8072749852041453,24624.0
weighted avg,0.9878920818227461,0.9825779727095516,0.9844377531111826,24624.0
