,precision,recall,f1-score,support
ARP_poisioning,0.9878127004490058,0.9935483870967742,0.9906722418784175,1550.0
DDOS_Slowloris,1.0,1.0,1.0,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.998792270531401,0.9975874547647768,0.9981894990947495,829.0
Metasploit_Brute_Force_SSH,0.7777777777777778,1.0,0.875,7.0
NMAP_FIN_SCAN,1.0,0.8333333333333334,0.9090909090909091,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,0.9961315280464217,0.9942084942084942,0.9951690821256038,518.0
NMAP_XMAS_TREE_SCAN,0.9975062344139651,0.9950248756218906,0.9962640099626401,402.0
Thing_Speak,0.9931972789115646,0.9901356350184957,0.9916640938561284,1622.0
Wipro_bulb,0.9795918367346939,0.9411764705882353,0.96,51.0
accuracy,0.9984974009096816,0.9984974009096816,0.9984974009096816,0.9984974009096816
macro avg,0.9775674689054025,0.9787512208860001,0.9763374863340374,24624.0
weighted avg,0.9985165582456718,0.9984974009096816,0.9984996544792203,24624.0
