,precision,recall,f1-score,support
ARP_poisioning,0.9897106109324759,0.9929032258064516,0.991304347826087,1550.0
DDOS_Slowloris,1.0,0.9719626168224299,0.985781990521327,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.998792270531401,0.9975874547647768,0.9981894990947495,829.0
Metasploit_Brute_Force_SSH,0.7777777777777778,1.0,0.875,7.0
NMAP_FIN_SCAN,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,0.9922928709055877,0.9942084942084942,0.9932497589199615,518.0
NMAP_XMAS_TREE_SCAN,0.9975062344139651,0.9950248756218906,0.9962640099626401,402.0
Thing_Speak,0.9944375772558715,0.9919852034525277,0.9932098765432099,1622.0
Wipro_bulb,0.9803921568627451,0.9803921568627451,0.9803921568627451,51.0
accuracy,0.9985380116959064,0.9985380116959064,0.9985380116959064,0.9985380116959064
macro avg,0.9537662677471282,0.9797831134060542,0.9652185340801241,24624.0
weighted avg,0.9985690124114099,0.9985380116959064,0.9985472635786126,24624.0
