,precision,recall,f1-score,support
ARP_poisioning,0.979565772669221,0.9896774193548387,0.9845956354300385,1550.0
DDOS_Slowloris,1.0,1.0,1.0,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9963811821471653,0.9981873111782478,829.0
Metasploit_Brute_Force_SSH,0.7777777777777778,1.0,0.875,7.0
NMAP_FIN_SCAN,1.0,0.8333333333333334,0.9090909090909091,6.0
NMAP_OS_DETECTION,0.9950248756218906,1.0,0.9975062344139651,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,1.0,0.9922779922779923,0.9961240310077519,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9888957433682912,0.9882860665844636,0.98859081097749,1622.0
Wipro_bulb,1.0,0.8235294117647058,0.9032258064516129,51.0
accuracy,0.9978070175438597,0.9978070175438597,0.9978070175438597,0.9978070175438597
macro avg,0.9784386807864317,0.9682091900903659,0.9708189144136651,24624.0
weighted avg,0.9978382975176193,0.9978070175438597,0.997796910369331,24624.0
