,precision,recall,f1-score,support
ARP_poisioning,0.9764481222151495,0.9896774193548387,0.9830182633771227,1550.0
DDOS_Slowloris,0.9906542056074766,0.9906542056074766,0.9906542056074766,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,0.7777777777777778,1.0,0.875,7.0
NMAP_FIN_SCAN,1.0,0.8333333333333334,0.9090909090909091,6.0
NMAP_OS_DETECTION,0.9950248756218906,1.0,0.9975062344139651,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,0.9980582524271845,0.9922779922779923,0.995159728944821,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9913312693498452,0.9870530209617756,0.9891875193080012,1622.0
Wipro_bulb,0.9534883720930233,0.803921568627451,0.8723404255319149,51.0
accuracy,0.9976039636127355,0.9976039636127355,0.9976039636127355,0.9976039636127355
macro avg,0.9735652395910289,0.9655931104428594,0.9672537617502136,24624.0
weighted avg,0.997624690738554,0.9976039636127355,0.9975916696939098,24624.0
