,precision,recall,f1-score,support
ARP_poisioning,0.9858338699291693,0.987741935483871,0.986786980341605,1550.0
DDOS_Slowloris,0.9814814814814815,0.9906542056074766,0.986046511627907,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9963811821471653,0.9963811821471653,0.9963811821471653,829.0
Metasploit_Brute_Force_SSH,0.7777777777777778,1.0,0.875,7.0
NMAP_FIN_SCAN,1.0,0.8333333333333334,0.9090909090909091,6.0
NMAP_OS_DETECTION,0.9950248756218906,1.0,0.9975062344139651,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,0.9922779922779923,0.9922779922779923,0.9922779922779923,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9907464528069093,0.9901356350184957,0.990440949737897,1622.0
Wipro_bulb,0.9574468085106383,0.8823529411764706,0.9183673469387755,51.0
accuracy,0.9978882391163093,0.9978882391163093,0.9978882391163093,0.9978882391163093
macro avg,0.9730808700460855,0.972325175055558,0.9707836950825152,24624.0
weighted avg,0.9979018821186151,0.9978882391163093,0.9978857333047824,24624.0
