,precision,recall,f1-score,support
ARP_poisioning,0.9808795411089866,0.9929032258064516,0.9868547611413915,1550.0
DDOS_Slowloris,0.8803418803418803,0.9626168224299065,0.9196428571428571,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9975874547647768,0.9975874547647768,0.9975874547647768,829.0
Metasploit_Brute_Force_SSH,0.7,1.0,0.8235294117647058,7.0
NMAP_FIN_SCAN,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,0.9841269841269841,0.9575289575289575,0.9706457925636007,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9937772246421904,0.9845869297163995,0.9891607308764323,1622.0
Wipro_bulb,0.98,0.9607843137254902,0.9702970297029703,51.0
accuracy,0.9971978557504874,0.9971978557504874,0.9971978557504874,0.9971978557504874
macro avg,0.9458372015265127,0.9736971594106006,0.9573798004753359,24624.0
weighted avg,0.9972841254898847,0.9971978557504874,0.9972176434431683,24624.0
