,precision,recall,f1-score,support
ARP_poisioning,0.9852564102564103,0.9916129032258064,0.9884244372990354,1550.0
DDOS_Slowloris,0.9339622641509434,0.9252336448598131,0.9295774647887324,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.998792270531401,0.9975874547647768,0.9981894990947495,829.0
Metasploit_Brute_Force_SSH,0.7777777777777778,1.0,0.875,7.0
NMAP_FIN_SCAN,0.625,0.8333333333333334,0.7142857142857143,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,0.97678916827853,0.974903474903475,0.9758454106280193,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9919454770755886,0.9870530209617756,0.9894932014833128,1622.0
Wipro_bulb,0.98,0.9607843137254902,0.9702970297029703,51.0
accuracy,0.997482131254061,0.997482131254061,0.997482131254061,0.997482131254061
macro avg,0.9391269473392211,0.97212775178303,0.9532182493080418,24624.0
weighted avg,0.9975295235486293,0.997482131254061,0.9974967927973386,24624.0
