,precision,recall,f1-score,support
ARP_poisioning,0.9884541372674791,0.9941935483870967,0.9913155355419749,1550.0
DDOS_Slowloris,1.0,1.0,1.0,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.998792270531401,0.9975874547647768,0.9981894990947495,829.0
Metasploit_Brute_Force_SSH,0.7777777777777778,1.0,0.875,7.0
NMAP_FIN_SCAN,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,1.0,1.0,1.0,200.0
NMAP_UDP_SCAN,1.0,0.9942084942084942,0.9970958373668926,518.0
NMAP_XMAS_TREE_SCAN,0.9975062344139651,0.9950248756218906,0.9962640099626401,402.0
Thing_Speak,0.994430693069307,0.9907521578298397,0.9925880172946263,1622.0
Wipro_bulb,0.98,0.9607843137254902,0.9702970297029703,51.0
accuracy,0.9986192332683561,0.9986192332683561,0.9986192332683561,0.9986192332683561
macro avg,0.9542705689454704,0.9804903481559103,0.9658317248495519,24624.0
weighted avg,0.9986507859875777,0.9986192332683561,0.9986287868657714,24624.0
