,precision,recall,f1-score,support
ARP_poisioning,0.9454432734035958,0.9838709677419355,0.964274423016124,1550.0
DDOS_Slowloris,1.0,0.8037383177570093,0.8911917098445595,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.991556091676719,0.9957601453664445,829.0
Metasploit_Brute_Force_SSH,1.0,0.8571428571428571,0.9230769230769231,7.0
NMAP_FIN_SCAN,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
NMAP_OS_DETECTION,0.9925558312655087,1.0,0.9962640099626401,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.96045197740113,0.9845559845559846,0.9723546234509056,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9786700125470514,0.9617755856966708,0.9701492537313433,1622.0
Wipro_bulb,1.0,0.5882352941176471,0.7407407407407407,51.0
accuracy,0.9939896036387265,0.9939896036387265,0.9939896036387265,0.9939896036387265
macro avg,0.9754566086310424,0.916602775637004,0.9401798026125787,24624.0
weighted avg,0.9941269195115033,0.9939896036387265,0.9938666945654047,24624.0
