,precision,recall,f1-score,support
ARP_poisioning,0.9659685863874345,0.952258064516129,0.9590643274853801,1550.0
DDOS_Slowloris,0.7681159420289855,0.9906542056074766,0.8653061224489796,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.991556091676719,0.9957601453664445,829.0
Metasploit_Brute_Force_SSH,0.14,1.0,0.24561403508771928,7.0
NMAP_FIN_SCAN,0.15151515151515152,0.8333333333333334,0.2564102564102564,6.0
NMAP_OS_DETECTION,0.9925558312655087,1.0,0.9962640099626401,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.997946611909651,0.9382239382239382,0.9671641791044776,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9866581956797967,0.9574599260172626,0.9718397997496871,1622.0
Wipro_bulb,0.7678571428571429,0.8431372549019608,0.8037383177570093,51.0
accuracy,0.9921215074723847,0.9921215074723847,0.9921215074723847,0.9921215074723847
macro avg,0.8138035281054633,0.9584706408248925,0.8380144718500437,24624.0
weighted avg,0.994834826424823,0.9921215074723847,0.9932257388838215,24624.0
