,precision,recall,f1-score,support
ARP_poisioning,0.9358490566037736,0.8,0.8626086956521739,1550.0
DDOS_Slowloris,0.7162162162162162,0.9906542056074766,0.8313725490196079,107.0
DOS_SYN_Hping,0.9996831766818037,1.0,0.9998415632426723,18932.0
MQTT_Publish,1.0,0.9927623642943305,0.9963680387409201,829.0
Metasploit_Brute_Force_SSH,0.08974358974358974,1.0,0.16470588235294117,7.0
NMAP_FIN_SCAN,0.25,0.8333333333333334,0.38461538461538464,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.97,0.9362934362934363,0.9528487229862476,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.8607372732592159,0.906905055487053,0.8832182527769439,1622.0
Wipro_bulb,0.6097560975609756,0.9803921568627451,0.7518796992481203,51.0
accuracy,0.9794915529564653,0.9794915529564653,0.9794915529564653,0.9794915529564653
macro avg,0.7855841904739553,0.9529471189583555,0.818539271455245,24624.0
weighted avg,0.9833905812323558,0.9794915529564653,0.9807281845438014,24624.0
