,precision,recall,f1-score,support
ARP_poisioning,0.9221411192214112,0.9780645161290322,0.9492798998121478,1550.0
DDOS_Slowloris,1.0,0.8037383177570093,0.8911917098445595,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9975669099756691,0.9891435464414958,0.9933373712901272,829.0
Metasploit_Brute_Force_SSH,1.0,0.8571428571428571,0.9230769230769231,7.0
NMAP_FIN_SCAN,0.625,0.8333333333333334,0.7142857142857143,6.0
NMAP_OS_DETECTION,0.9828009828009828,1.0,0.9913258983890955,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.9582504970178927,0.9305019305019305,0.9441723800195886,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9760705289672544,0.9556103575832305,0.9657320872274143,1622.0
Wipro_bulb,1.0,0.5294117647058824,0.6923076923076923,51.0
accuracy,0.9918778427550358,0.9918778427550358,0.9918778427550358,0.9918778427550358
macro avg,0.9547379094670917,0.9059976249347219,0.9216435120900993,24624.0
weighted avg,0.9921514468343058,0.9918778427550358,0.9917479221216094,24624.0
