,precision,recall,f1-score,support
ARP_poisioning,0.964403427818062,0.9438709677419355,0.9540267362243234,1550.0
DDOS_Slowloris,0.7681159420289855,0.9906542056074766,0.8653061224489796,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9987834549878345,0.9903498190591074,0.9945487583282859,829.0
Metasploit_Brute_Force_SSH,0.12962962962962962,1.0,0.22950819672131148,7.0
NMAP_FIN_SCAN,0.16129032258064516,0.8333333333333334,0.2702702702702703,6.0
NMAP_OS_DETECTION,0.9852216748768473,1.0,0.9925558312655087,400.0
NMAP_TCP_scan,0.9900990099009901,1.0,0.9950248756218906,200.0
NMAP_UDP_SCAN,0.997946611909651,0.9382239382239382,0.9671641791044776,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9821882951653944,0.9519112207151664,0.9668127739511584,1622.0
Wipro_bulb,0.7142857142857143,0.8823529411764706,0.7894736842105263,51.0
accuracy,0.9912686809616634,0.9912686809616634,0.9912686809616634,0.9912686809616634
macro avg,0.8076636735986461,0.9604767751232766,0.8351831385467247,24624.0
weighted avg,0.9941302451076137,0.9912686809616634,0.9924255860862244,24624.0
