,precision,recall,f1-score,support
ARP_poisioning,0.8908045977011494,0.4,0.5520926090828139,1550.0
DDOS_Slowloris,0.6198830409356725,0.9906542056074766,0.762589928057554,107.0
DOS_SYN_Hping,0.9995248402935432,1.0,0.9997623636891717,18932.0
MQTT_Publish,0.995085995085995,0.97708082026538,0.9860012172854534,829.0
Metasploit_Brute_Force_SSH,0.03153153153153153,1.0,0.0611353711790393,7.0
NMAP_FIN_SCAN,0.1724137931034483,0.8333333333333334,0.2857142857142857,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,0.9950248756218906,1.0,0.9975062344139651,200.0
NMAP_UDP_SCAN,0.7151898734177216,0.8725868725868726,0.7860869565217391,518.0
NMAP_XMAS_TREE_SCAN,0.9975062344139651,0.9950248756218906,0.9962640099626401,402.0
Thing_Speak,0.7873015873015873,0.9173859432799013,0.8473804100227791,1622.0
Wipro_bulb,0.18502202643171806,0.8235294117647058,0.302158273381295,51.0
accuracy,0.9528102664067576,0.9528102664067576,0.9528102664067576,0.9528102664067576
macro avg,0.6991073663198518,0.90079962187163,0.7147243049425615,24624.0
weighted avg,0.9686960085851303,0.9528102664067576,0.9535994354106371,24624.0
