,precision,recall,f1-score,support
ARP_poisioning,0.9429508196721311,0.927741935483871,0.9352845528455285,1550.0
DDOS_Slowloris,0.7535211267605634,1.0,0.8594377510040161,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,0.7,1.0,0.8235294117647058,7.0
NMAP_FIN_SCAN,0.05434782608695652,0.8333333333333334,0.10204081632653061,6.0
NMAP_OS_DETECTION,0.9680851063829787,0.91,0.9381443298969072,400.0
NMAP_TCP_scan,0.9049773755656109,1.0,0.9501187648456056,200.0
NMAP_UDP_SCAN,0.9796334012219959,0.9285714285714286,0.9534192269573836,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9832366215344939,0.94019728729963,0.961235423889064,1622.0
Wipro_bulb,0.7796610169491526,0.9019607843137255,0.8363636363636363,51.0
accuracy,0.9880604288499025,0.9880604288499025,0.9880604288499025,0.9880604288499025
macro avg,0.8388677745144903,0.9526670461794527,0.8628884807184777,24624.0
weighted avg,0.9917429641611584,0.9880604288499025,0.9896422824893505,24624.0
