,precision,recall,f1-score,support
ARP_poisioning,0.8258426966292135,0.2845161290322581,0.42322456813819576,1550.0
DDOS_Slowloris,0.6307692307692307,0.7663551401869159,0.6919831223628692,107.0
DOS_SYN_Hping,0.9994720726428044,1.0,0.9997359666261816,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,0.03550295857988166,0.8571428571428571,0.06818181818181818,7.0
NMAP_FIN_SCAN,0.07042253521126761,0.8333333333333334,0.12987012987012986,6.0
NMAP_OS_DETECTION,0.969187675070028,0.865,0.9141347424042272,400.0
NMAP_TCP_scan,0.9049773755656109,1.0,0.9501187648456056,200.0
NMAP_UDP_SCAN,0.5215419501133787,0.888030888030888,0.6571428571428571,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.763653483992467,0.5,0.6043219076005961,1622.0
Wipro_bulb,0.03200775945683802,0.6470588235294118,0.06099815157116451,51.0
accuracy,0.9154077322936972,0.9154077322936972,0.9154077322936972,0.9154077322936972
macro avg,0.64611481150256,0.8026364130339257,0.624566656956,24624.0
weighted avg,0.9576158400231659,0.9154077322936972,0.924532547418963,24624.0
