,precision,recall,f1-score,support
ARP_poisioning,0.9490683229813665,0.9858064516129033,0.9670886075949368,1550.0
DDOS_Slowloris,1.0,0.8037383177570093,0.8911917098445595,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,1.0,0.8571428571428571,0.9230769230769231,7.0
NMAP_FIN_SCAN,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
NMAP_OS_DETECTION,0.9900990099009901,1.0,0.9950248756218906,400.0
NMAP_TCP_scan,1.0,0.99,0.9949748743718593,200.0
NMAP_UDP_SCAN,0.9478584729981379,0.9826254826254827,0.9649289099526066,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9767441860465116,0.9580764488286067,0.9673202614379085,1622.0
Wipro_bulb,1.0,0.5686274509803921,0.725,51.0
accuracy,0.9938271604938271,0.9938271604938271,0.9938271604938271,0.9938271604938271
macro avg,0.9747586104383617,0.9141291772860024,0.9380856124968643,24624.0
weighted avg,0.9939638264848113,0.9938271604938271,0.9936893123453934,24624.0
